,,,,,,STORAGE,STORAGE,STORAGE,SUPPORTED FEATURES,SUPPORTED FEATURES,SUPPORTED FEATURES,SUPPORTED FEATURES,
AOS Version,OS Vendor,OS Family,OS Status,OS Bits,Platform,SCSI,IDE,PCI,Hot Add Memory,Hot Add vCPU,UEFI,Secure Boot,
"AOS 7.1","FreeBSD","FreeBSD 10","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.3","FreeBSD","FreeBSD 10","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.0","FreeBSD","FreeBSD 10","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.19","FreeBSD","FreeBSD 9","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.20","FreeBSD","FreeBSD 9","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.0","FreeBSD","FreeBSD 9","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.3","FreeBSD","FreeBSD 9","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.1","Oracle","Oracle Linux 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.20","FreeBSD","FreeBSD 11","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.19","FreeBSD","FreeBSD 12","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.10","FreeBSD","FreeBSD 12","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.8","FreeBSD","FreeBSD 13","-","64","x86","Recommended","Supported","Supported","-","-","Supported","-",
"AOS 7.3","FreeBSD","FreeBSD 13","-","64","x86","Recommended","Supported","Supported","-","-","Supported","-",
"AOS 5.15","FreeBSD","FreeBSD 9","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.0","FreeBSD","FreeBSD 9","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.9","FreeBSD","FreeBSD 11","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.0","FreeBSD","FreeBSD 10","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.3","FreeBSD","FreeBSD 10","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.6","FreeBSD","FreeBSD 12","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.8","FreeBSD","FreeBSD 12","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.5","FreeBSD","FreeBSD 12","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.16","FreeBSD","FreeBSD 9","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.6","FreeBSD","FreeBSD 9","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.10","Oracle","Oracle Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.11","Oracle","Oracle Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.10","FreeBSD","FreeBSD 11","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.16","FreeBSD","FreeBSD 11","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.5","FreeBSD","FreeBSD 10","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.7","FreeBSD","FreeBSD 11","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.5","FreeBSD","FreeBSD 15","-","64","x86","Recommended","Supported","Supported","-","-","Supported","-",
"AOS 6.7","FreeBSD","FreeBSD 9","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.6","FreeBSD","FreeBSD 11","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.1","FreeBSD","FreeBSD 12","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.0","FreeBSD","FreeBSD 14","-","64","x86","Recommended","Supported","Supported","-","-","Supported","-",
"AOS 5.6","FreeBSD","FreeBSD 9","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.0","FreeBSD","FreeBSD 9","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.18","FreeBSD","FreeBSD 11","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.19","FreeBSD","FreeBSD 11","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.5","FreeBSD","FreeBSD 11","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.5","FreeBSD","FreeBSD 12","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.0","FreeBSD","FreeBSD 13","-","64","x86","Recommended","Supported","Supported","-","-","Supported","-",
"AOS 6.10","FreeBSD","FreeBSD 15","-","64","x86","Recommended","Supported","Supported","-","-","Supported","-",
"AOS 5.5","FreeBSD","FreeBSD 9","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.6","FreeBSD","FreeBSD 9","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.1","FreeBSD","FreeBSD 9","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.1","FreeBSD","FreeBSD 10","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.1","FreeBSD","FreeBSD 11","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.7","FreeBSD","FreeBSD 12","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.0","FreeBSD","FreeBSD 15","-","64","x86","Recommended","Supported","Supported","-","-","Supported","-",
"AOS 5.10","FreeBSD","FreeBSD 9","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.1","FreeBSD","FreeBSD 9","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.1","FreeBSD","FreeBSD 9","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.3","Oracle","Oracle Linux 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.11","FreeBSD","FreeBSD 11","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.9","FreeBSD","FreeBSD 11","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.11","Oracle","Oracle Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 5.5","FreeBSD","FreeBSD 11","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.5","FreeBSD","FreeBSD 10","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.1","FreeBSD","FreeBSD 13","-","64","x86","Recommended","Supported","Supported","-","-","Supported","-",
"AOS 6.10","FreeBSD","FreeBSD 14","-","64","x86","Recommended","Supported","Supported","-","-","Supported","-",
"AOS 7.3","FreeBSD","FreeBSD 14","-","64","x86","Recommended","Supported","Supported","-","-","Supported","-",
"AOS 7.5","FreeBSD","FreeBSD 14","-","64","x86","Recommended","Supported","Supported","-","-","Supported","-",
"AOS 7.3","FreeBSD","FreeBSD 15","-","64","x86","Recommended","Supported","Supported","-","-","Supported","-",
"AOS 5.15","FreeBSD","FreeBSD 9","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.19","FreeBSD","FreeBSD 9","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.0","FreeBSD","FreeBSD 11","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.10","FreeBSD","FreeBSD 13","-","64","x86","Recommended","Supported","Supported","-","-","Supported","-",
"AOS 6.5","FreeBSD","FreeBSD 13","-","64","x86","Recommended","Supported","Supported","-","-","Supported","-",
"AOS 7.0","Oracle","Oracle Linux 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.15","FreeBSD","FreeBSD 11","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.3","FreeBSD","FreeBSD 11","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.11","FreeBSD","FreeBSD 12","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.0","FreeBSD","FreeBSD 12","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.3","FreeBSD","FreeBSD 12","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.1","FreeBSD","FreeBSD 14","-","64","x86","Recommended","Supported","Supported","-","-","Supported","-",
"AOS 5.11","FreeBSD","FreeBSD 9","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.16","FreeBSD","FreeBSD 9","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.18","FreeBSD","FreeBSD 9","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.10","FreeBSD","FreeBSD 9","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.8","FreeBSD","FreeBSD 9","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.10","FreeBSD","FreeBSD 11","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.6","FreeBSD","FreeBSD 11","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.8","FreeBSD","FreeBSD 11","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.8","FreeBSD","FreeBSD 11","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.0","FreeBSD","FreeBSD 11","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.10","FreeBSD","FreeBSD 11","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.15","FreeBSD","FreeBSD 12","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.20","FreeBSD","FreeBSD 12","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.1","FreeBSD","FreeBSD 9","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.10","Oracle","Oracle Linux 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.6","FreeBSD","FreeBSD 11","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.10","FreeBSD","FreeBSD 12","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.18","FreeBSD","FreeBSD 12","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.0","FreeBSD","FreeBSD 12","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.18","FreeBSD","FreeBSD 9","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.0","FreeBSD","FreeBSD 9","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.10","FreeBSD","FreeBSD 9","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.7","FreeBSD","FreeBSD 9","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.3","FreeBSD","FreeBSD 9","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.10","Oracle","Oracle Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 5.16","FreeBSD","FreeBSD 12","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.17","FreeBSD","FreeBSD 12","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.5","FreeBSD","FreeBSD 13","-","64","x86","Recommended","Supported","Supported","-","-","Supported","-",
"AOS 5.17","FreeBSD","FreeBSD 9","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.20","FreeBSD","FreeBSD 9","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.5","FreeBSD","FreeBSD 9","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.6","FreeBSD","FreeBSD 9","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.5","FreeBSD","FreeBSD 9","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.5","Oracle","Oracle Linux 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 6.8","FreeBSD","FreeBSD 11","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.1","FreeBSD","FreeBSD 11","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.1","FreeBSD","FreeBSD 12","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.7","FreeBSD","FreeBSD 13","-","64","x86","Recommended","Supported","Supported","-","-","Supported","-",
"AOS 5.8","FreeBSD","FreeBSD 9","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.9","FreeBSD","FreeBSD 9","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.5","FreeBSD","FreeBSD 9","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.11","FreeBSD","FreeBSD 11","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.17","FreeBSD","FreeBSD 11","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.5","FreeBSD","FreeBSD 11","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.5","FreeBSD","FreeBSD 11","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.10","FreeBSD","FreeBSD 9","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.17","FreeBSD","FreeBSD 9","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.8","FreeBSD","FreeBSD 9","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.9","FreeBSD","FreeBSD 9","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.5","FreeBSD","FreeBSD 9","Legacy OS","64","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 6.8","FreeBSD","FreeBSD 9","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 7.5","FreeBSD","FreeBSD 9","Legacy OS","32","x86","Recommended","Supported","Supported","-","-","-","-",
"AOS 5.18","Oracle","Oracle Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.16","Oracle","Oracle Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 5.8","Oracle","Oracle Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.0","Oracle","Oracle Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.6","Oracle","Oracle Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 5.18","Oracle","Oracle Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 5.6","Oracle","Oracle Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.9","Oracle","Oracle Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.1","Oracle","Oracle Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 6.5","Oracle","Oracle Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","-","-","-",
"AOS 6.8","Oracle","Oracle Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","-","-","-",
"AOS 6.6","Oracle","Oracle Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.7","Oracle","Oracle Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","-","-","-",
"AOS 5.18","Oracle","Oracle Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","-","-","-",
"AOS 5.6","Oracle","Oracle Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","-","-","-",
"AOS 6.10","Oracle","Oracle Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","-","-","-",
"AOS 5.19","Oracle","Oracle Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.6","Oracle","Oracle Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 6.8","Oracle","Oracle Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 5.9","Oracle","Oracle Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 7.3","Oracle","Oracle Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.10","Oracle","Oracle Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","-","-","-",
"AOS 7.1","Oracle","Oracle Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","-","-","-",
"AOS 5.17","Oracle","Oracle Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.19","Oracle","Oracle Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 6.1","Oracle","Oracle Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.5","Oracle","Oracle Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 6.7","Oracle","Oracle Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 6.8","Oracle","Oracle Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.15","Oracle","Oracle Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","-","-","-",
"AOS 5.5","Oracle","Oracle Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","-","-","-",
"AOS 5.20","Oracle","Oracle Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.5","Oracle","Oracle Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.16","Oracle","Oracle Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","-","-","-",
"AOS 6.0","Oracle","Oracle Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 5.5","Oracle","Oracle Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.16","Oracle","Oracle Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.1","Oracle","Oracle Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 7.5","Oracle","Oracle Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 5.11","Oracle","Oracle Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","-","-","-",
"AOS 7.0","Oracle","Oracle Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","-","-","-",
"AOS 7.3","Oracle","Oracle Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","-","-","-",
"AOS 5.20","Oracle","Oracle Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 6.10","Oracle","Oracle Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 7.5","Oracle","Oracle Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.17","Oracle","Oracle Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","-","-","-",
"AOS 5.20","Oracle","Oracle Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","-","-","-",
"AOS 5.5","Oracle","Oracle Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 6.7","Oracle","Oracle Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.0","Oracle","Oracle Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.9","Oracle","Oracle Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","-","-","-",
"AOS 6.0","Oracle","Oracle Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","-","-","-",
"AOS 7.1","Oracle","Oracle Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.8","Oracle","Oracle Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","-","-","-",
"AOS 6.10","Oracle","Oracle Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.1","Oracle","Oracle Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","-","-","-",
"AOS 5.15","Oracle","Oracle Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 5.17","Oracle","Oracle Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 5.15","Oracle","Oracle Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.0","Oracle","Oracle Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 5.8","Oracle","Oracle Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 7.3","Oracle","Oracle Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 5.19","Oracle","Oracle Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","-","-","-",
"AOS 6.6","Oracle","Oracle Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","-","-","-",
"AOS 6.8","Oracle","Oracle Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.10","Oracle","Oracle Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.5","Oracle","Oracle Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","-","-","-",
"AOS 6.0","Oracle","Oracle Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.8","Oracle","Oracle Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.5","Oracle","Oracle Linux 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.16","Rancher","RancherOS v1.5","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.18","Rancher","RancherOS v1.5","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.6","Rancher","RancherOS v1.5","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.1","Rancher","RancherOS v1.5","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.1","Red Hat","Red Hat Enterprise Linux 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.5","Red Hat","Red Hat Enterprise Linux 4","Legacy OS","64","x86","-","Supported","Recommended","Supported","Supported","-","-",
"AOS 6.8","Red Hat","Red Hat Enterprise Linux 4","Legacy OS","64","x86","-","Supported","Recommended","Supported","Supported","-","-",
"AOS 7.5","Red Hat","Red Hat Enterprise Linux 4","Legacy OS","64","x86","-","Supported","Recommended","Supported","Supported","-","-",
"AOS 5.17","Red Hat","Red Hat Enterprise Linux 5","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.18","Red Hat","Red Hat Enterprise Linux 5","Legacy OS","64","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.18","Oracle","Oracle Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.1","Oracle","Oracle Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 6.0","Rancher","RancherOS v1.5","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.3","Rancher","RancherOS v1.5","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.16","Red Hat","Red Hat Enterprise Linux 4","Legacy OS","32","x86","-","Supported","Recommended","Supported","Supported","-","-",
"AOS 5.9","Red Hat","Red Hat Enterprise Linux 4","Legacy OS","32","x86","-","Supported","Recommended","Supported","Supported","-","-",
"AOS 6.7","Red Hat","Red Hat Enterprise Linux 4","Legacy OS","32","x86","-","Supported","Recommended","Supported","Supported","-","-",
"AOS 7.1","Red Hat","Red Hat Enterprise Linux 4","Legacy OS","32","x86","-","Supported","Recommended","Supported","Supported","-","-",
"AOS 5.20","Red Hat","Red Hat Enterprise Linux 5","Legacy OS","64","x86","-","Supported","Recommended","-","-","-","-",
"AOS 6.6","Oracle","Oracle Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 6.10","Oracle","Oracle Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.15","Red Hat","Red Hat Enterprise Linux 4","Legacy OS","64","x86","-","Supported","Recommended","Supported","Supported","-","-",
"AOS 5.16","Red Hat","Red Hat Enterprise Linux 4","Legacy OS","64","x86","-","Supported","Recommended","Supported","Supported","-","-",
"AOS 6.0","Red Hat","Red Hat Enterprise Linux 4","Legacy OS","64","x86","-","Supported","Recommended","Supported","Supported","-","-",
"AOS 7.5","Red Hat","Red Hat Enterprise Linux 4","Legacy OS","32","x86","-","Supported","Recommended","Supported","Supported","-","-",
"AOS 5.5","Red Hat","Red Hat Enterprise Linux 5","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.11","Oracle","Oracle Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.16","Oracle","Oracle Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.0","Oracle","Oracle Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 7.3","Oracle","Oracle Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 6.10","Oracle","Oracle Linux 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.20","Red Hat","Red Hat Enterprise Linux 4","Legacy OS","32","x86","-","Supported","Recommended","Supported","Supported","-","-",
"AOS 5.10","Red Hat","Red Hat Enterprise Linux 5","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 6.10","Rancher","RancherOS v1.5","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.3","Red Hat","Red Hat Enterprise Linux 4","Legacy OS","32","x86","-","Supported","Recommended","Supported","Supported","-","-",
"AOS 6.8","Oracle","Oracle Linux 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.5","Oracle","Oracle Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.1","Oracle","Oracle Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 7.1","Oracle","Oracle Linux 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.5","Rancher","RancherOS v1.5","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
