,,,,,,STORAGE,STORAGE,STORAGE,SUPPORTED FEATURES,SUPPORTED FEATURES,SUPPORTED FEATURES,SUPPORTED FEATURES,
AOS Version,OS Vendor,OS Family,OS Status,OS Bits,Platform,SCSI,IDE,PCI,Hot Add Memory,Hot Add vCPU,UEFI,Secure Boot,
"AOS 5.16","CentOS","CentOS 5","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 7.5","AlmaLinux","AlmaLinux 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 6.5","AlmaLinux","AlmaLinux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 7.5","AlmaLinux","AlmaLinux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 6.6","AlmaLinux","AlmaLinux 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 6.8","AlmaLinux","AlmaLinux 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 7.0","AlmaLinux","AlmaLinux 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.11","CentOS","CentOS 5","Legacy OS","64","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.11","CentOS","CentOS 5","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 6.0","CentOS","CentOS 5","Legacy OS","64","x86","-","Supported","Recommended","-","-","-","-",
"AOS 6.8","AlmaLinux","AlmaLinux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 7.0","Amazon","AmazonLinux 2","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.6","CentOS","CentOS 5","Legacy OS","64","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.11","CentOS","CentOS 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.3","CentOS","CentOS 5","Legacy OS","64","x86","-","Supported","Recommended","-","-","-","-",
"AOS 6.7","CentOS","CentOS 5","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.10","CentOS","CentOS 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 5.16","CentOS","CentOS 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.20","CentOS","CentOS 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 5.5","CentOS","CentOS 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 6.1","CentOS","CentOS 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.6","CentOS","CentOS 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.8","CentOS","CentOS 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.1","CentOS","CentOS 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 6.6","CentOS","CentOS 5","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.15","CentOS","CentOS 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 6.7","CentOS","CentOS 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.3","CentOS","CentOS 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.0","CentOS","CentOS 5","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 7.5","CentOS","CentOS 5","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.10","CentOS","CentOS 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.15","CentOS","CentOS 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.0","CentOS","CentOS 5","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 6.1","CentOS","CentOS 5","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.16","CentOS","CentOS 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 5.18","CentOS","CentOS 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.19","CentOS","CentOS 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.9","CentOS","CentOS 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 6.5","CentOS","CentOS 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.7","CentOS","CentOS 5","Legacy OS","64","x86","-","Supported","Recommended","-","-","-","-",
"AOS 6.10","CentOS","CentOS 5","Legacy OS","64","x86","-","Supported","Recommended","-","-","-","-",
"AOS 6.8","CentOS","CentOS 5","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.11","CentOS","CentOS 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 5.17","CentOS","CentOS 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.0","CentOS","CentOS 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.10","CentOS","CentOS 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.1","CentOS","CentOS 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.5","CentOS","CentOS 5","Legacy OS","64","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.9","CentOS","CentOS 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.10","CentOS","CentOS 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 6.5","CentOS","CentOS 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 7.0","CentOS","CentOS 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.1","CentOS","CentOS 5","Legacy OS","64","x86","-","Supported","Recommended","-","-","-","-",
"AOS 7.3","CentOS","CentOS 5","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.8","CentOS","CentOS 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 6.6","CentOS","CentOS 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 6.10","CentOS","CentOS 5","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 7.1","CentOS","CentOS 5","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.18","CentOS","CentOS 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 5.6","CentOS","CentOS 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 5.8","CentOS","CentOS 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.8","CentOS","CentOS 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 6.1","CentOS","CentOS 5","Legacy OS","64","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.19","CentOS","CentOS 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 6.0","CentOS","CentOS 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 6.7","CentOS","CentOS 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 5.17","CentOS","CentOS 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 7.0","CentOS","CentOS 5","Legacy OS","64","x86","-","Supported","Recommended","-","-","-","-",
"AOS 6.5","CentOS","CentOS 5","Legacy OS","64","x86","-","Supported","Recommended","-","-","-","-",
"AOS 6.5","CentOS","CentOS 5","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 6.8","CentOS","CentOS 5","Legacy OS","64","x86","-","Supported","Recommended","-","-","-","-",
"AOS 7.0","CentOS","CentOS 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 5.20","CentOS","CentOS 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.5","CentOS","CentOS 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.6","CentOS","CentOS 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.1","CentOS","CentOS 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 5.16","CentOS","CentOS 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.19","CentOS","CentOS 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.8","CentOS","CentOS Stream 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","-",
"AOS 7.3","CentOS","CentOS 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.5","CentOS","CentOS 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.6","CentOS","CentOS 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.10","CentOS","CentOS 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.5","CentOS","CentOS 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.9","CentOS","CentOS 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.7","CentOS","CentOS 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.15","CentOS","CentOS 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.1","CentOS","CentOS 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.8","CentOS","CentOS 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.0","CentOS","CentOS 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 7.3","CentOS","CentOS Stream 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.5","CentOS","CentOS 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.1","CentOS","CentOS 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 7.1","CentOS","CentOS 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.6","CentOS","CentOS 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.20","CentOS","CentOS 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.17","CentOS","CentOS 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.10","CentOS","CentOS 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 6.7","CentOS","CentOS 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 6.8","CentOS","CentOS 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 6.10","CentOS","CentOS Stream 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","-",
"AOS 6.0","CentOS","CentOS 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.16","CentOS","CentOS 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.19","CentOS","CentOS 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.0","CentOS","CentOS 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.1","CentOS","CentOS 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.0","CentOS","CentOS Stream 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 6.6","CentOS","CentOS 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.20","CentOS","CentOS 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 7.3","CentOS","CentOS 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 5.10","CentOS","CentOS 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.5","CentOS","CentOS Stream 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.11","CentOS","CentOS 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.5","CentOS","CentOS Stream 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","-",
"AOS 5.18","CentOS","CentOS 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.0","CentOS","CentOS 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.5","CentOS","CentOS 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 5.15","CentOS","CentOS 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.5","CentOS","CentOS 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.3","CentOS","CentOS Stream 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","-",
"AOS 6.8","CentOS","CentOS Stream 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 7.1","CentOS","CentOS Stream 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 7.5","CentOS","CentOS 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.18","CentOS","CentOS 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.3","CentOS","CentOS 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.10","CentOS","CentOS 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.17","CentOS","CentOS 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.9","CentOS","CentOS 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.0","CentOS","CentOS Stream 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","-",
"AOS 6.10","CentOS","CentOS Stream 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 6.7","CentOS","CentOS Stream 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.11","CentOS","CentOS 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.8","CentOS","CentOS 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.8","CentOS","CentOS 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.6","CentOS","CentOS 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.5","CentOS","CentOS 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.20","CentOS","CentOS Stream 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 6.6","CentOS","CentOS Stream 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.5","CentOS","CentOS 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.1","CentOS","CentOS Stream 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","-",
"AOS 6.10","CentOS","CentOS Stream 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 6.7","CentOS","CentOS Stream 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 6.6","CentOS","CentOS Stream 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.18","Debian","Debian 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.20","Debian","Debian 11","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.10","Debian","Debian 11","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.5","CentOS","CentOS Stream 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 6.5","CentOS","CentOS Stream 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 7.5","CentOS","CentOS Stream 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 7.0","Debian","Debian 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.0","Debian","Debian 11","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.6","Debian","Debian 11","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.5","Debian","Debian 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","-",
"AOS 6.8","Debian","Debian 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","-",
"AOS 7.1","Debian","Debian 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","-",
"AOS 5.16","Debian","Debian 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.1","Debian","Debian 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.3","Debian","Debian 11","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.0","Debian","Debian 11.5","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","-",
"AOS 6.5","Debian","Debian 11","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.5","Debian","Debian 11.5","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","-",
"AOS 7.0","Debian","Debian 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","-",
"AOS 6.10","Debian","Debian 13","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","-",
"AOS 5.19","Debian","Debian 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.3","Debian","Debian 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.1","Debian","Debian 11","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.1","CentOS","CentOS Stream 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.17","Debian","Debian 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.20","Debian","Debian 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.7","Debian","Debian 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.1","Debian","Debian 11.5","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","-",
"AOS 6.7","Debian","Debian 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","-",
"AOS 5.5","Debian","Debian 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.10","Debian","Debian 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.6","Debian","Debian 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.6","Debian","Debian 11.5","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","-",
"AOS 6.8","Debian","Debian 11.5","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","-",
"AOS 5.15","Debian","Debian 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.10","Debian","Debian 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.8","Debian","Debian 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.0","CentOS","CentOS Stream 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 7.5","Debian","Debian 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.1","Debian","Debian 11","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.0","Debian","Debian 11","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.20","CentOS","CentOS Stream 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 6.8","CentOS","CentOS Stream 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 7.3","CentOS","CentOS Stream 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 6.8","Debian","Debian 11","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.5","Debian","Debian 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","-",
"AOS 7.3","Debian","Debian 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","-",
"AOS 6.5","Debian","Debian 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.10","Debian","Debian 11.5","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","-",
"AOS 5.9","Debian","Debian 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.10","Debian","Debian 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","-",
